191, 226, 365
191, 458, 244
191, 464, 185
191, 227, 494
226, 226, 0
226, 458, 341
226, 464, 428
226, 227, 200
458, 226, 349
458, 458, 0
458, 464, 313
458, 227, 494
464, 226, 439
464, 458, 353
464, 464, 0
464, 227, 487
307, 338, 247
307, 341, 153
307, 68, 159
338, 338, 0
338, 341, 97
338, 68, 423
341, 338, 94
341, 341, 0
341, 68, 325
313, 320, 158
313, 321, 278
313, 312, 212
320, 320, 0
320, 321, 149
320, 312, 408
321, 320, 149
321, 321, 0
321, 312, 479
314, 337, 295
314, 340, 255
314, 331, 415
314, 336, 332
314, 325, 461
337, 337, 0
337, 340, 225
337, 331, 392
337, 336, 125
337, 325, 257
340, 337, 285
340, 340, 0
340, 331, 391
340, 336, 298
340, 325, 426
331, 337, 372
331, 340, 190
331, 331, 0
331, 336, 256
331, 325, 248
336, 337, 116
336, 340, 217
336, 331, 302
336, 336, 0
336, 325, 132
387, 388, 195
387, 390, 115
387, 386, 355
387, 76, 605
388, 388, 0
388, 390, 317
388, 386, 557
388, 76, 806
390, 388, 309
390, 390, 0
390, 386, 240
390, 76, 489
386, 388, 425
386, 390, 116
386, 386, 0
386, 76, 452
122, 377, 131
122, 405, 61
122, 445, 231
122, 451, 366
122, 452, 753
122, 367, 359
122, 376, 497
122, 375, 304
122, 404, 556
122, 366, 316
122, 14, 452
377, 377, 0
377, 405, 153
377, 445, 202
377, 451, 343
377, 452, 747
377, 367, 336
377, 376, 537
377, 375, 441
377, 404, 596
377, 366, 454
377, 14, 607
405, 377, 67
405, 405, 0
405, 445, 167
405, 451, 302
405, 452, 712
405, 367, 295
405, 376, 479
405, 375, 286
405, 404, 538
405, 366, 298
405, 14, 434
445, 377, 361
445, 405, 325
445, 445, 0
445, 451, 348
445, 452, 729
445, 367, 474
445, 376, 676
445, 375, 607
445, 404, 735
445, 366, 626
445, 14, 745
451, 377, 333
451, 405, 297
451, 445, 298
451, 451, 0
451, 452, 468
451, 367, 212
451, 376, 361
451, 375, 547
451, 404, 420
451, 366, 411
451, 14, 410
452, 377, 210
452, 405, 174
452, 445, 127
452, 451, 164
452, 452, 0
452, 367, 322
452, 376, 524
452, 375, 462
452, 404, 583
452, 366, 475
452, 14, 593
367, 377, 348
367, 405, 312
367, 445, 313
367, 451, 217
367, 452, 678
367, 367, 0
367, 376, 415
367, 375, 416
367, 404, 474
367, 366, 199
367, 14, 345
376, 377, 414
376, 405, 378
376, 445, 379
376, 451, 283
376, 452, 744
376, 367, 66
376, 376, 0
376, 375, 467
376, 404, 500
376, 366, 250
376, 14, 396
375, 377, 608
375, 405, 538
375, 445, 708
375, 451, 668
375, 452, 994
375, 367, 609
375, 376, 753
375, 375, 0
375, 404, 812
375, 366, 315
375, 14, 578
404, 377, 390
404, 405, 320
404, 445, 490
404, 451, 450
404, 452, 776
404, 367, 391
404, 376, 317
404, 375, 449
404, 404, 0
404, 366, 113
404, 14, 272
366, 377, 389
366, 405, 319
366, 445, 489
366, 451, 449
366, 452, 775
366, 367, 390
366, 376, 516
366, 375, 405
366, 404, 574
366, 366, 0
366, 14, 314
256, 275, 139
256, 38, 506
256, 124, 475
275, 275, 0
275, 38, 590
275, 124, 607
38, 275, 377
38, 38, 0
38, 124, 234
351, 470, 1007
351, 101, 1093
351, 33, 1194
351, 350, 951
351, 356, 1010
351, 48, 1048
351, 142, 1102
470, 470, 0
470, 101, 182
470, 33, 216
470, 350, 305
470, 356, 348
470, 48, 349
470, 142, 426
101, 470, 197
101, 101, 0
101, 33, 282
101, 350, 244
101, 356, 303
101, 48, 167
101, 142, 460
33, 470, 197
33, 101, 156
33, 33, 0
33, 350, 400
33, 356, 459
33, 48, 323
33, 142, 616
350, 470, 302
350, 101, 292
350, 33, 387
350, 350, 0
350, 356, 222
350, 48, 86
350, 142, 380
356, 470, 364
356, 101, 362
356, 33, 449
356, 350, 226
356, 356, 0
356, 48, 38
356, 142, 331
48, 470, 326
48, 101, 310
48, 33, 411
48, 350, 188
48, 356, 136
48, 48, 0
48, 142, 293
283, 125, 258
